source,before,after,increase,reason
izmir_balik,3,12,9,KIRLANGIÇ (DENİZ): PRICE_QUARANTINED:PREVIOUS_PRICE_JUMP; PİSİ ( DENİZ ): PRICE_QUARANTINED:PREVIOUS_PRICE_JUMP
kayseri_resmi,4,13,9,Domates Kasa Salkım: PRICE_QUARANTINED:PRODUCT_UNIT_MISMATCH; Muz İthal (18kg): PRICE_QUARANTINED:PRODUCT_UNIT_MISMATCH; Nar: PRICE_QUARANTINED:PREVIOUS_PRICE_JUMP
eskisehir_resmi,2,11,9,MANTAR: PRICE_QUARANTINED:PREVIOUS_PRICE_JUMP; ÜZÜM ÇEKİRDEKSİZ: PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION
hal_gov_tr_ulusal,4,12,8,BİBER SİVRİ CİN: PRICE_QUARANTINED:PREVIOUS_PRICE_JUMP; BİBERİYE ROZMARİN: PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION; ELMA FUJİ: PRICE_QUARANTINED:PREVIOUS_PRICE_JUMP; FASULYE TAZE DİĞER: PRICE_QUARANTINED:PREVIOUS_PRICE_JUMP; GRANADİLLA: PRICE_QUARANTINED:PREVIOUS_PRICE_JUMP
kutahya_resmi,4,12,8,KESTANE: PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION
manisa_resmi,1,9,8,MUZ İTHAL KOLİ: PRICE_QUARANTINED:PRODUCT_UNIT_MISMATCH
trabzon_resmi,4,12,8,Muz İthal (Koli): PRICE_QUARANTINED:PRODUCT_UNIT_MISMATCH
demre_batiakdeniz,4,12,8,SİVRİ BİBER: PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION; YEŞİL DOLMA B.: PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION; SALKIM DOMATES: PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION
tekirdag_resmi,4,12,8,FASULYE TAZE (DİĞER): PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION; KEKİK (YAŞ-TAZE): PRICE_QUARANTINED:PRODUCT_UNIT_MISMATCH
tobb_borsa_ilgin,4,12,8,İnek (Canlı): PRICE_QUARANTINED:PEER_MEDIAN_DEVIATION; Yulaf: sıhhat reddi (avg (16.857) < min (16.905))
denizli_resmi,0,6,6,DOMATES II: sıhhat reddi (avg (20) < min (30))
ankara_resmi,0,4,4,Domates (Ayaş): PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION
bursa_resmi,8,12,4,Kızılcık: PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION; Limon (Sandık): PRICE_QUARANTINED:PREVIOUS_PRICE_JUMP; Bezelye: PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION; Soğan (Arpacık): PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION
balikesir_resmi,5,8,3,"Muz, Diğer: PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION"
istanbul_ibb,9,12,3,Enginar: PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION; Ahududu: sıhhat reddi (avg (913) > max (765)); Kuşkonmaz: PRICE_QUARANTINED:PEER_MEDIAN_DEVIATION; Yaban Mersini: PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION
yalova_resmi,3,6,3,MUZ (İTHAL): PRICE_QUARANTINED:PRODUCT_UNIT_MISMATCH
izmir_sebzemeyve,0,2,2,SOĞAN   TAZE: PRICE_QUARANTINED:SOURCE_MEDIAN_DEVIATION
gaziantep_resmi,0,1,1,BİBER SALÇALIK: PRICE_QUARANTINED:PREVIOUS_PRICE_JUMP
tobb_borsa_bandirma,0,1,1,Ayçiçeği: sıhhat reddi (absürd fiyat > 1500 TL)
