query,priority,gsc_impressions,gsc_clicks,gsc_ctr_pct,gsc_position,previous_position,previous_clicks,sample_our_position,competitors_ahead_in_sample,google_top_page,target_path,action
adana limon fiyatları,P0,4403,28,0.64,7.8,7.53,9,6,2,https://haldefiyat.com/urun/limon,/urun/limon,Adana resmi veri akışını doğrula/onar; genel fiyatı Adana fiyatı diye sunma; yerel sayfa veri kapısı sonrası.
mersin limon fiyatları,P0,3343,32,0.96,6.54,6.52,22,3,2,https://haldefiyat.com/analiz/limon-fiyatlari-2026-mersin-erdemli-piyasa-analizi,/piyasa/erdemli-limon,"Yerel veri akışını onar; piyasa, analiz ve ürün sayfalarının amaçlarını ve iç bağlantılarını ayır."
mersin hal fiyatları,P0,2051,52,2.54,8.46,8.13,24,9,6,https://haldefiyat.com/hal/mersin-hal,/hal/mersin-hal,Son kaynak tarihi 22 Haziran; yeni yazıdan önce güncel resmi kaynak ve ETL sorununu çöz.
erdemli limon fiyatları,P0,985,22,2.23,5.71,7.84,9,2,1,https://haldefiyat.com/analiz/limon-fiyatlari-2026-mersin-erdemli-piyasa-analizi,/piyasa/erdemli-limon,"Yerel veri akışını onar; piyasa, analiz ve ürün sayfalarının amaçlarını ve iç bağlantılarını ayır."
limon fiyatları,P1,4838,94,1.94,5.85,5.29,270,5,2,https://haldefiyat.com/urun/limon,/urun/limon,"Çeşit, hal/bahçe ayrımı, kaynaklı tablo ve ilgili Mayer/yerel piyasa bağlantılarını güçlendir."
limon piyasası,P1,4118,145,3.52,5.64,5.64,144,6,2,https://haldefiyat.com/urun/limon,/urun/limon,"Çeşit, hal/bahçe ayrımı, kaynaklı tablo ve ilgili Mayer/yerel piyasa bağlantılarını güçlendir."
hal fiyatları,P1,3139,102,3.25,7.59,7.98,99,12,10,https://haldefiyat.com/,/fiyatlar,Ana sayfa/fiyatlar sorgu sahipliğini incele; şehir bağlantıları ve son veri tarihlerini güçlendir.
salçalık domates fiyatları,P1,1828,37,2.02,7.93,8.43,13,,19,https://haldefiyat.com/urun/domates-salcalik,/urun/domates-salcalik,"Mevcut sayfayı Rio/çeşit, hal-fabrika ayrımı ve veriye dayalı hesap örneğiyle güçlendir."
adana mayer limon fiyatları,P1,1358,82,6.04,7.84,7.86,13,,13,https://haldefiyat.com/urun/limon,/urun/limon-mayer,Mevcut Mayer sayfasında Adana veri kapsamını açıklayan içerik; yerel seri tamamlanınca şehir sayfası.
üzüm fiyatları 2026,P1,1019,49,4.81,3.36,3.81,12,2,1,https://haldefiyat.com/urun/uzum,/urun/uzum,"Taze/kuru üzüm niyetini ayır; mevcut hedefi koru, çeşide ve kaynağa bağlı açıklama ekle."
üzüm fiyatları,P1,898,34,3.79,6.1,9.85,7,,16,https://haldefiyat.com/urun/uzum,/urun/uzum,"Taze/kuru üzüm niyetini ayır; mevcut hedefi koru, çeşide ve kaynağa bağlı açıklama ekle."
2026 üzüm fiyatları,P1,842,32,3.8,3.03,3.64,7,2,1,https://haldefiyat.com/urun/uzum,/urun/uzum,"Taze/kuru üzüm niyetini ayır; mevcut hedefi koru, çeşide ve kaynağa bağlı açıklama ekle."
istanbul hal fiyatları,P2,6157,229,3.72,4.3,4.64,182,3,2,https://haldefiyat.com/hal/istanbul-hal-ibb,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
ankara hal fiyatları,P2,2981,53,1.78,4.67,4.41,87,10,9,https://haldefiyat.com/hal/ankara-hal,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
patates fiyatları,P2,2639,161,6.1,7.14,7.72,131,4,2,https://haldefiyat.com/urun/patates,/urun/patates,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
kayseri hal fiyatları,P2,2306,33,1.43,6.22,6.08,6,8,5,https://haldefiyat.com/hal/kayseri-hal,/hal/kayseri-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
konya hal fiyatları,P2,1949,81,4.16,2.74,2.62,25,18,13,https://haldefiyat.com/hal/konya-hal,/hal/konya-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
bayrampaşa hal fiyatları,P2,1936,112,5.79,3.96,5.42,64,13,10,https://haldefiyat.com/hal/istanbul-hal-ibb,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
bursa hal fiyatları,P2,1866,130,6.97,2.85,3.92,66,11,8,https://haldefiyat.com/hal/bursa-hal,/hal/bursa-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
kahramanmaraş hal fiyatları,P2,1736,107,6.16,2.89,3.32,59,4,2,https://haldefiyat.com/hal/kahramanmaras-hal,/hal/kahramanmaras-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
denizli hal fiyatları,P2,1348,39,2.89,3.21,3.51,27,6,4,https://haldefiyat.com/hal/denizli-hal,/hal/denizli-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
bayrampaşa meyve sebze hali fiyat listesi,P2,1249,92,7.37,4.03,6.38,17,,14,https://haldefiyat.com/hal/istanbul-hal-ibb,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
gaziantep hal fiyatları,P2,1234,87,7.05,4.62,5.21,48,4,3,https://haldefiyat.com/hal/gaziantep-hal,/hal/gaziantep-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
ankara hal fiyatları bugün,P2,1226,26,2.12,5.4,5.5,43,3,2,https://haldefiyat.com/hal/ankara-hal,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
soğan fiyatları,P2,1212,81,6.68,5.73,7.08,96,4,3,https://haldefiyat.com/urun/sogan-kuru,/urun/sogan-kuru,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
nar fiyatları 2026,P2,1119,33,2.95,4.26,5.81,11,2,1,https://haldefiyat.com/urun/nar,/urun/nar,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
kocaeli hal fiyatları,P2,1093,18,1.65,3.87,4.37,16,,13,https://haldefiyat.com/hal/kocaeli-hal-merkez,/hal/kocaeli-hal-merkez,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
istanbul hal fiyatları bugün,P2,1052,72,6.84,4.19,5.39,49,9,5,https://haldefiyat.com/hal/istanbul-hal-ibb,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
istanbul sebze hali fiyatları,P2,1023,49,4.79,5.24,5.9,53,8,6,https://haldefiyat.com/hal/istanbul-hal-ibb,/hal/istanbul-hal-ibb,Aynı hal sayfasında Bayrampaşa fiyat listesi başlığı ve güncel satırları önce göster; kopya URL açma.
ankara meyve sebze hali fiyatları,P2,775,31,4.0,6.8,5.5,81,4,3,https://haldefiyat.com/hal/ankara-hal,/hal/ankara-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
