file,line,item
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,42,"- [~] A11 Sonraki üç gerçek zamanlanmış çalışmayı ölç: sıfır veri ve kapsam düşüşü nedenleri, yazılan/doğrulanamayan gözlem, kaynak günleri. Geçmiş 1 Eylül boşluğunun nedeni ayrıca logdan araştırılacak."
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,67,- [~] C3 Onay sahibi ve zamanını belirle; geciken taslağı eski tarihiyle otomatik yayımlama. IG/FB taslak modu mevcut kararda kalır.
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,68,"- [~] C4 20 Eylül: yalnız erişim değil, en az 10 kontrol edilmiş kartta tarih/birim/anlam hatası 0 ve planlanan/başarılı yayın oranı değerlendirilsin. Otomatik yayın ayrı karar."
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,69,"- [~] C5 UTM ve mevcut analitik üzerinden ürün takibi, alarm, 7 günlük geri dönüş, ilan/teklif ve ödeme sonuçlarını seri bazında bağla."
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,70,"- [~] C6 3 Ekim SEO: mevcut pilotun URL listesini sabitle; indekslenebilir uygun URL payı, sorgu/pozisyon kırılımı ve mevcut ürün sayfalarındaki tıklama kaybını ölç. %4 CTR bütün URL'lere kör eşik değildir."
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,71,- [~] C7 Aylık/haftalık yazıları ilk 28 günlük eşit pencerelerde karşılaştır. Rehber başına 300 oturum doğrulanmış beklenti değil deney hedefidir.
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,77,- [~] D3 Tek ürün/bölgede pilot: firma erişimi → sahiplenme → gerçek ilan → yanıtlanan talep → doğrulanmış görüşme. 15 Ekim hedefi 25 gerçek aktif ilan; tek başına sayı başarı değildir.
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,78,"- [~] D4 İlk ücretli reklam/API pilotunda teklif, tahsilat, kullanım ve yenileme kanıtını kaydet. Yeni abonelik sistemi kurma."
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,79,"- [~] D5 İki kısa video denemesi: aynı ürün/mesajı kartla eşit süreli karşılaştır; erişim, kaydetme ve site eylemlerini ölç."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,83,"- [~] F0.23 `BLOCKED-EXTERNAL`: Ana sayfa mobile Lighthouse bazı ve çoklu rota ham raporları alındı; ölçüm makinesi CPU doygun, PageSpeed API kotası 429. Stabil bağımsız runner olmadan karşılaştırılabilir performance skoru üretilemez. Accessibility/Best Practices/SEO kabulü tamam."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,84,"- [~] F0.24 `BLOCKED-EXTERNAL`: `/prices/overview` 30–48 sn darboğazı 2,56 sn soğuk/3–10 ms sıcak seviyesine indirildi; gerçek INP/CrUX saha verisi trafik ve 28 günlük pencere gerektiriyor. Kanıt: `artifacts/renewal-2026/prices-overview-performans-kabul-2026-08-14.md`."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,85,"- [~] F0.25 `BLOCKED-EXTERNAL`: Kontrast, accessible-name ve unsized-image bulguları düzeltildi; Chromium axe/Lighthouse erişilebilirlik kabulü geçti. Gerçek NVDA/VoiceOver cihaz matrisi dış test ortamına bağlı."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,147,"- [~] F1.38 `BLOCKED-EXTERNAL`: Tüzel kişi GZL Teknoloji, platform sahibi/sektör ağı Atakan Şahin, teknik yürütme Orhan Güzel ve kurumsal e-posta canlıya işlendi. **2026-08-14: Orhan adres yayınına ONAY verdi**; yalnız adres METNİ bekleniyor (dosyalarda doğrulanmış kayıt yok, uydurulmaz). Metin gelince `site_settings` + seed 087'ye işlenir. Karar: `docs/GELIR-VE-KUNYE-KARAR-KAYDI.md`."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,171,"- [~] G1.5 `BLOCKED-EXTERNAL`: Gerçek işletmeci/rol kimliği, KVKK, sahiplik, veri/editoryal/düzeltme ve API lisans politikaları canlı ve çapraz bağlıdır; yalnız doğrulanmış resmi açık adres/şehir kaydı ve sahip onayı bekliyor."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,455,"- [~] F7.8 `BLOCKED-EXTERNAL`: Ana arama, fiyat okuma, harita ve çağrı talebi semantik/klavye/axe Chromium accessibility ağacında geçti; gerçek NVDA/VoiceOver cihaz kabulü fiziksel cihaz ve kullanıcı testi gerektiriyor."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,461,- [~] F7.10 `BLOCKED-EXTERNAL`: Desktop Chromium ve Android Pixel 7 emülasyonu geçti; gerçek iOS/macOS Safari ile Firefox cihaz matrisi fiziksel dış test ortamı bekliyor.
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,475,"- [~] F7.19 `BLOCKED-EXTERNAL`: Accessibility/Best Practices/SEO 100/100/100. Performance ölçüm hostu load 15,51–19,84 ile doygun, VPS 2-core ve PageSpeed API 429 kota verdi. Karşılaştırılabilir performans skoru stabil bağımsız runner/PSI kota yenilenmesi bekliyor; ham kayıtlar `artifacts/renewal-2026/faz7-qa-kabul-2026-08-14.md` içinde."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,512,"- [~] F9.5 `BLOCKED-EXTERNAL`: Hata taraması ve ilk Web Vitals/lab/search/call KPI bazı alındı; 24–72 saat gerçek gözlem penceresi takvim ve gerçek trafik bağımlılığıdır, kodla hızlandırılamaz."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,528,"- [~] F10.4 `BLOCKED-EXTERNAL`: Basın CRM, kaynak URL/son doğrulama envanteri, draft kampanya, temas durumları ve yayın URL logu pilot-ready. Gerçek editör onayı ve dış medya alıcısına ilk gönderim insan/operasyon kararı olmadan yapılamaz."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,532,"- [~] F10.5 `BLOCKED-EXTERNAL`: Reklam fiyat/talep vitrini, 9 slot, teklif, doluluk, manuel rezervasyon, ödeme kapısı, hedefleme ve audit pilot-ready. Gerçek ilk reklamveren/ödeme dış müşteri kararı bekliyor."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,533,"- [~] F10.6 `BLOCKED-EXTERNAL`: API Pro anahtar, kota, ölçüm, sürüm sözleşmesi, public ücretsiz limit, SLA/lisans metni ve admin yönetimi hazır. Gerçek tasarım ortağı ve sözleşme dış müşteri bekliyor."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,534,"- [~] F10.7 `BLOCKED-EXTERNAL`: Kurumsal rapor üretimi, metodoloji/lisans dili ve tek segment manuel satış kapısı hazır; gerçek fiyatı onaylayacak sahip ve ilk ücretli müşteri bekliyor."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,561,"- [~] D14 `BLOCKED-EXTERNAL`: Chromium WCAG/axe, keyboard, responsive, desktop/Pixel emülasyonu, E2E ve Lighthouse A/BP/SEO eşikleri geçti. Stabil performance runner ile gerçek Safari/Firefox/NVDA/VoiceOver fiziksel kabulü dış ortam bekliyor."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,562,- [~] D15 `BLOCKED-EXTERNAL`: Redirect/canonical/sitemap canlı göçü doğrulandı; yalnız Google hesabında write-scope token olmadığı için Search Console submit `403`.
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,606,- [~] E9 `BLOCKED-EXTERNAL`: Ürün foto fallback'i ve admin/manifest tüketimi testli; mevcut dosyaların kaynak URL+eser sahibi+lisans sürümü dış arşiv kaydı yok. Kaynağı kanıtlanamayan foto yeni yüzeye taşınmıyor; provenance uydurulamaz ve hak sahibi/kaynak envanteri bekliyor.
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,616,"- [~] E14 `BLOCKED-EXTERNAL`: Aynı uncommitted WIP local ve VPS’de doğrulandı, korundu ve bu çalışma dosyalarıyla çakıştırılmadı. Başka çalışma sahibine ait değişiklikler yetkisiz commit/temizleme yapılamadığı için sahiplik ayrıştırması bekliyor."
